,brand,model,model_year,milage,fuel_type,engine,transmission,accident,price
0,Ford,Utility Police Interceptor Base,2013,51000,3,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,10300
1,Hyundai,Palisade SEL,2021,34742,0,3.8L V6 24V GDI DOHC,8-Speed Automatic,1,38005
2,Lexus,RX 350 RX 350,2022,22372,0,3.5 Liter DOHC,Automatic,0,54598
3,INFINITI,Q50 Hybrid Sport,2015,88900,2,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,0,15500
4,Audi,Q3 45 S line Premium Plus,2021,9835,0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,0,34999
5,Acura,ILX 2.4L,2016,136397,0,2.4 Liter,F,0,14798
6,Audi,S3 2.0T Premium Plus,2017,84000,0,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,31000
7,BMW,740 iL,2001,242000,0,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,0,7300
8,Lexus,RC 350 F Sport,2021,23436,0,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,41927
10,Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,0,V6,Automatic,0,73897
12,Toyota,Supra 3.0 Premium,2021,12500,0,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,0,53500
13,Lincoln,Aviator Reserve AWD,2022,18196,0,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,62000
14,Jaguar,F-TYPE,2020,15903,0,2.0 Liter Supercharged,Automatic,0,47998
15,Land,Rover LR4 HSE,2013,79800,0,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,29990
17,Dodge,Challenger SXT,2013,61074,0,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,16800
18,Nissan,350Z Enthusiast,2003,74000,0,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,11000
19,Jaguar,F-TYPE R,2018,35250,0,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,68750
20,Genesis,GV70 3.5T Sport,2023,5400,0,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,60000
21,Chevrolet,S-10 LS,2000,133510,3,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,0,4500
22,BMW,440 Gran Coupe 440i xDrive,2020,25990,0,3.0 Liter Turbo,Automatic,0,38598
23,Ford,F-150 XLT,2023,2823,0,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,0,58504
24,Chevrolet,Suburban RST,2021,52000,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,61000
